,DateTime,Area,Building,Loop,Type,Usage,Date,Weekday,DayName,Time,Week
90,2018/03/15 18:00,N,EB1,main,edu,26.75,2018-03-15,4,Thursday,18:00,11
91,2018/03/15 19:00,N,EB1,main,edu,21.0,2018-03-15,4,Thursday,19:00,11
92,2018/03/15 20:00,N,EB1,main,edu,19.13,2018-03-15,4,Thursday,20:00,11
93,2018/03/15 21:00,N,EB1,main,edu,15.5,2018-03-15,4,Thursday,21:00,11
94,2018/03/15 22:00,N,EB1,main,edu,13.75,2018-03-15,4,Thursday,22:00,11
95,2018/03/15 23:00,N,EB1,main,edu,13.5,2018-03-15,4,Thursday,23:00,11
96,2018/03/16 00:00,N,EB1,main,edu,13.63,2018-03-16,5,Friday,00:00,11
97,2018/03/16 01:00,N,EB1,main,edu,13.25,2018-03-16,5,Friday,01:00,11
98,2018/03/16 02:00,N,EB1,main,edu,13.5,2018-03-16,5,Friday,02:00,11
99,2018/03/16 03:00,N,EB1,main,edu,13.63,2018-03-16,5,Friday,03:00,11
100,2018/03/16 04:00,N,EB1,main,edu,13.63,2018-03-16,5,Friday,04:00,11
101,2018/03/16 05:00,N,EB1,main,edu,13.5,2018-03-16,5,Friday,05:00,11
102,2018/03/16 06:00,N,EB1,main,edu,13.38,2018-03-16,5,Friday,06:00,11
103,2018/03/16 07:00,N,EB1,main,edu,15.88,2018-03-16,5,Friday,07:00,11
104,2018/03/16 08:00,N,EB1,main,edu,18.88,2018-03-16,5,Friday,08:00,11
105,2018/03/16 09:00,N,EB1,main,edu,27.13,2018-03-16,5,Friday,09:00,11
106,2018/03/16 10:00,N,EB1,main,edu,43.63,2018-03-16,5,Friday,10:00,11
107,2018/03/16 11:00,N,EB1,main,edu,53.38,2018-03-16,5,Friday,11:00,11
108,2018/03/16 12:00,N,EB1,main,edu,56.38,2018-03-16,5,Friday,12:00,11
109,2018/03/16 13:00,N,EB1,main,edu,36.75,2018-03-16,5,Friday,13:00,11
110,2018/03/16 14:00,N,EB1,main,edu,30.13,2018-03-16,5,Friday,14:00,11
111,2018/03/16 15:00,N,EB1,main,edu,30.75,2018-03-16,5,Friday,15:00,11
112,2018/03/16 16:00,N,EB1,main,edu,33.0,2018-03-16,5,Friday,16:00,11
113,2018/03/16 17:00,N,EB1,main,edu,26.25,2018-03-16,5,Friday,17:00,11
114,2018/03/16 18:00,N,EB1,main,edu,27.13,2018-03-16,5,Friday,18:00,11
115,2018/03/16 19:00,N,EB1,main,edu,25.5,2018-03-16,5,Friday,19:00,11
116,2018/03/16 20:00,N,EB1,main,edu,24.13,2018-03-16,5,Friday,20:00,11
117,2018/03/16 21:00,N,EB1,main,edu,24.63,2018-03-16,5,Friday,21:00,11
118,2018/03/16 22:00,N,EB1,main,edu,20.38,2018-03-16,5,Friday,22:00,11
119,2018/03/16 23:00,N,EB1,main,edu,19.5,2018-03-16,5,Friday,23:00,11
120,2018/03/17 00:00,N,EB1,main,edu,19.5,2018-03-17,6,Saturday,00:00,11
121,2018/03/17 01:00,N,EB1,main,edu,17.63,2018-03-17,6,Saturday,01:00,11
122,2018/03/17 02:00,N,EB1,main,edu,17.38,2018-03-17,6,Saturday,02:00,11
123,2018/03/17 03:00,N,EB1,main,edu,17.25,2018-03-17,6,Saturday,03:00,11
124,2018/03/17 04:00,N,EB1,main,edu,17.5,2018-03-17,6,Saturday,04:00,11
125,2018/03/17 05:00,N,EB1,main,edu,17.13,2018-03-17,6,Saturday,05:00,11
126,2018/03/17 06:00,N,EB1,main,edu,17.13,2018-03-17,6,Saturday,06:00,11
127,2018/03/17 07:00,N,EB1,main,edu,17.13,2018-03-17,6,Saturday,07:00,11
128,2018/03/17 08:00,N,EB1,main,edu,17.38,2018-03-17,6,Saturday,08:00,11
129,2018/03/17 09:00,N,EB1,main,edu,19.0,2018-03-17,6,Saturday,09:00,11
130,2018/03/17 10:00,N,EB1,main,edu,19.38,2018-03-17,6,Saturday,10:00,11
131,2018/03/17 11:00,N,EB1,main,edu,20.63,2018-03-17,6,Saturday,11:00,11
132,2018/03/17 12:00,N,EB1,main,edu,18.88,2018-03-17,6,Saturday,12:00,11
133,2018/03/17 13:00,N,EB1,main,edu,19.0,2018-03-17,6,Saturday,13:00,11
134,2018/03/17 14:00,N,EB1,main,edu,19.0,2018-03-17,6,Saturday,14:00,11
135,2018/03/17 15:00,N,EB1,main,edu,19.63,2018-03-17,6,Saturday,15:00,11
136,2018/03/17 16:00,N,EB1,main,edu,19.38,2018-03-17,6,Saturday,16:00,11
137,2018/03/17 17:00,N,EB1,main,edu,17.63,2018-03-17,6,Saturday,17:00,11
138,2018/03/17 18:00,N,EB1,main,edu,18.13,2018-03-17,6,Saturday,18:00,11
139,2018/03/17 19:00,N,EB1,main,edu,17.75,2018-03-17,6,Saturday,19:00,11
140,2018/03/17 20:00,N,EB1,main,edu,17.38,2018-03-17,6,Saturday,20:00,11
141,2018/03/17 21:00,N,EB1,main,edu,18.0,2018-03-17,6,Saturday,21:00,11
142,2018/03/17 22:00,N,EB1,main,edu,16.63,2018-03-17,6,Saturday,22:00,11
143,2018/03/17 23:00,N,EB1,main,edu,16.13,2018-03-17,6,Saturday,23:00,11
144,2018/03/18 00:00,N,EB1,main,edu,16.0,2018-03-18,7,Sunday,00:00,11
145,2018/03/18 01:00,N,EB1,main,edu,15.88,2018-03-18,7,Sunday,01:00,11
146,2018/03/18 02:00,N,EB1,main,edu,16.0,2018-03-18,7,Sunday,02:00,11
147,2018/03/18 03:00,N,EB1,main,edu,16.13,2018-03-18,7,Sunday,03:00,11
148,2018/03/18 04:00,N,EB1,main,edu,16.13,2018-03-18,7,Sunday,04:00,11
149,2018/03/18 05:00,N,EB1,main,edu,16.13,2018-03-18,7,Sunday,05:00,11
150,2018/03/18 06:00,N,EB1,main,edu,16.0,2018-03-18,7,Sunday,06:00,11
151,2018/03/18 07:00,N,EB1,main,edu,16.13,2018-03-18,7,Sunday,07:00,11
152,2018/03/18 08:00,N,EB1,main,edu,16.38,2018-03-18,7,Sunday,08:00,11
153,2018/03/18 09:00,N,EB1,main,edu,16.38,2018-03-18,7,Sunday,09:00,11
154,2018/03/18 10:00,N,EB1,main,edu,18.88,2018-03-18,7,Sunday,10:00,11
155,2018/03/18 11:00,N,EB1,main,edu,18.75,2018-03-18,7,Sunday,11:00,11
156,2018/03/18 12:00,N,EB1,main,edu,18.88,2018-03-18,7,Sunday,12:00,11
157,2018/03/18 13:00,N,EB1,main,edu,21.13,2018-03-18,7,Sunday,13:00,11
158,2018/03/18 14:00,N,EB1,main,edu,17.63,2018-03-18,7,Sunday,14:00,11
159,2018/03/18 15:00,N,EB1,main,edu,19.38,2018-03-18,7,Sunday,15:00,11
160,2018/03/18 16:00,N,EB1,main,edu,26.63,2018-03-18,7,Sunday,16:00,11
161,2018/03/18 17:00,N,EB1,main,edu,25.25,2018-03-18,7,Sunday,17:00,11
162,2018/03/18 18:00,N,EB1,main,edu,25.5,2018-03-18,7,Sunday,18:00,11
163,2018/03/18 19:00,N,EB1,main,edu,27.38,2018-03-18,7,Sunday,19:00,11
164,2018/03/18 20:00,N,EB1,main,edu,25.88,2018-03-18,7,Sunday,20:00,11
165,2018/03/18 21:00,N,EB1,main,edu,24.25,2018-03-18,7,Sunday,21:00,11
166,2018/03/18 22:00,N,EB1,main,edu,21.75,2018-03-18,7,Sunday,22:00,11
167,2018/03/18 23:00,N,EB1,main,edu,21.0,2018-03-18,7,Sunday,23:00,11
168,2018/03/19 00:00,N,EB1,main,edu,20.63,2018-03-19,1,Monday,00:00,12
169,2018/03/19 01:00,N,EB1,main,edu,17.5,2018-03-19,1,Monday,01:00,12
170,2018/03/19 02:00,N,EB1,main,edu,16.5,2018-03-19,1,Monday,02:00,12
171,2018/03/19 03:00,N,EB1,main,edu,16.25,2018-03-19,1,Monday,03:00,12
172,2018/03/19 04:00,N,EB1,main,edu,16.38,2018-03-19,1,Monday,04:00,12
173,2018/03/19 05:00,N,EB1,main,edu,16.25,2018-03-19,1,Monday,05:00,12
174,2018/03/19 06:00,N,EB1,main,edu,16.13,2018-03-19,1,Monday,06:00,12
175,2018/03/19 07:00,N,EB1,main,edu,18.5,2018-03-19,1,Monday,07:00,12
176,2018/03/19 08:00,N,EB1,main,edu,23.0,2018-03-19,1,Monday,08:00,12
177,2018/03/19 09:00,N,EB1,main,edu,29.38,2018-03-19,1,Monday,09:00,12
178,2018/03/19 10:00,N,EB1,main,edu,33.13,2018-03-19,1,Monday,10:00,12
179,2018/03/19 11:00,N,EB1,main,edu,41.63,2018-03-19,1,Monday,11:00,12
180,2018/03/19 12:00,N,EB1,main,edu,44.88,2018-03-19,1,Monday,12:00,12
181,2018/03/19 13:00,N,EB1,main,edu,47.0,2018-03-19,1,Monday,13:00,12
182,2018/03/19 14:00,N,EB1,main,edu,45.13,2018-03-19,1,Monday,14:00,12
183,2018/03/19 15:00,N,EB1,main,edu,47.25,2018-03-19,1,Monday,15:00,12
184,2018/03/19 16:00,N,EB1,main,edu,45.38,2018-03-19,1,Monday,16:00,12
185,2018/03/19 17:00,N,EB1,main,edu,41.75,2018-03-19,1,Monday,17:00,12
186,2018/03/19 18:00,N,EB1,main,edu,39.38,2018-03-19,1,Monday,18:00,12
187,2018/03/19 19:00,N,EB1,main,edu,38.25,2018-03-19,1,Monday,19:00,12
188,2018/03/19 20:00,N,EB1,main,edu,35.0,2018-03-19,1,Monday,20:00,12
189,2018/03/19 21:00,N,EB1,main,edu,33.25,2018-03-19,1,Monday,21:00,12
190,2018/03/19 22:00,N,EB1,main,edu,29.13,2018-03-19,1,Monday,22:00,12
191,2018/03/19 23:00,N,EB1,main,edu,28.0,2018-03-19,1,Monday,23:00,12
192,2018/03/20 00:00,N,EB1,main,edu,26.38,2018-03-20,2,Tuesday,00:00,12
193,2018/03/20 01:00,N,EB1,main,edu,27.0,2018-03-20,2,Tuesday,01:00,12
194,2018/03/20 02:00,N,EB1,main,edu,27.25,2018-03-20,2,Tuesday,02:00,12
195,2018/03/20 03:00,N,EB1,main,edu,26.25,2018-03-20,2,Tuesday,03:00,12
196,2018/03/20 04:00,N,EB1,main,edu,26.38,2018-03-20,2,Tuesday,04:00,12
197,2018/03/20 05:00,N,EB1,main,edu,26.63,2018-03-20,2,Tuesday,05:00,12
198,2018/03/20 06:00,N,EB1,main,edu,25.13,2018-03-20,2,Tuesday,06:00,12
199,2018/03/20 07:00,N,EB1,main,edu,27.0,2018-03-20,2,Tuesday,07:00,12
200,2018/03/20 08:00,N,EB1,main,edu,29.63,2018-03-20,2,Tuesday,08:00,12
201,2018/03/20 09:00,N,EB1,main,edu,36.5,2018-03-20,2,Tuesday,09:00,12
202,2018/03/20 10:00,N,EB1,main,edu,40.25,2018-03-20,2,Tuesday,10:00,12
203,2018/03/20 11:00,N,EB1,main,edu,40.13,2018-03-20,2,Tuesday,11:00,12
204,2018/03/20 12:00,N,EB1,main,edu,37.13,2018-03-20,2,Tuesday,12:00,12
205,2018/03/20 13:00,N,EB1,main,edu,40.75,2018-03-20,2,Tuesday,13:00,12
206,2018/03/20 14:00,N,EB1,main,edu,44.63,2018-03-20,2,Tuesday,14:00,12
207,2018/03/20 15:00,N,EB1,main,edu,39.63,2018-03-20,2,Tuesday,15:00,12
208,2018/03/20 16:00,N,EB1,main,edu,40.63,2018-03-20,2,Tuesday,16:00,12
209,2018/03/20 17:00,N,EB1,main,edu,35.0,2018-03-20,2,Tuesday,17:00,12
